,Dimensión,Año,CCAA,Unidad Territorial,Tasa total,Dimension total,0-39,40-49,50-59,60-69,+70,Mujer,Hombre,Cerebro,Cervix,Colorectal,Esofago,Estómago,Glándulas salivares,Hígado,Hipofaringe,"Labio, cavidad oral",Laringe,Leucemia,Linfoma Hodgkin,Linfoma No-Hodgkin,Mama,Melanoma de piel,Mesotelioma,Mieloma Multiple,Nasofaringe,Orofaringe,Otros,Otros de piel,Ovario,Páncreas,Pene,Próstata,Pulmón,Riñón,Sarcoma Kaposi,Testículo,Tiroides,Utero,Vagina,Vejiga,Vesicula Biliar,Vulva
318,Prevalencia,2021,Andalucía,Málaga,1718.48,29139,1179,2193,4851,7337,13577,12915,16223,460,216,4035,96,368,66,224,70,503,330,587,186,905,4760,676,25,287,53,128,715,3012,356,203,58,4745,1249,872,32,170,701,868,14,2021,24,109
319,Prevalencia,2021,Andalucía,Sevilla,1649.44,32128,1340,2528,5536,7953,14769,14734,17394,517,244,4442,105,406,74,246,77,557,359,656,212,1009,5401,756,27,316,59,140,799,3314,402,225,62,5031,1362,962,36,196,790,980,16,2181,27,125
320,Prevalencia,2021,Aragón,Huesca,2043.62,4583,137,266,648,1067,2462,1906,2676,66,27,660,14,59,10,34,10,81,50,90,24,135,664,99,3,46,7,19,110,586,49,31,9,762,188,133,5,22,90,125,2,337,3,16
321,Prevalencia,2021,Aragón,Teruel,2164.94,2912,81,145,399,668,1617,1176,1736,40,16,423,9,38,6,21,6,51,32,57,14,84,403,62,2,29,4,11,69,394,29,19,6,491,118,84,3,12,54,76,1,219,2,10
322,Prevalencia,2021,Aragón,Zaragoza,1940.09,18769,608,1219,2757,4402,9781,8308,10460,279,124,2671,59,242,42,141,42,329,204,373,104,564,2934,418,15,188,31,77,455,2250,217,129,37,3010,775,547,20,93,401,551,9,1332,16,71
323,Prevalencia,2021,"Asturias, Principado de",Asturias,2284.7,23116,548,1285,3105,5789,12386,10319,12796,328,142,3337,73,301,51,172,50,408,250,443,107,680,3587,496,19,236,35,96,543,2832,265,161,46,3765,959,664,23,89,457,700,11,1661,20,89
324,Prevalencia,2021,"Balears, Illes","Balears, Illes",1590.99,18662,887,1564,3187,4624,8398,8317,10344,304,145,2563,62,234,43,143,45,323,211,381,133,592,3077,448,16,182,36,82,467,1909,229,129,37,2963,792,564,22,130,472,545,9,1272,15,70
325,Prevalencia,2021,Canarias,"Palmas, Las",1632.8,18426,804,1544,3576,4772,7729,8194,10232,302,144,2522,63,231,42,145,47,320,217,369,128,588,3088,443,16,179,36,85,456,1761,230,129,36,2955,806,565,21,122,475,546,8,1252,14,69
326,Prevalencia,2021,Canarias,Santa Cruz de Tenerife,1730.6,18074,731,1406,3212,4540,8184,8088,9985,287,136,2501,60,228,41,139,44,314,206,360,118,566,2990,425,15,177,34,80,442,1857,222,126,35,2890,775,544,20,110,444,540,8,1242,14,68
327,Prevalencia,2021,Cantabria,Cantabria,2032.71,11881,349,753,1734,3026,6017,5282,6599,176,78,1692,38,153,26,89,27,208,131,232,63,357,1872,262,10,119,19,50,284,1381,138,82,23,1932,498,347,12,54,252,355,5,843,10,45
